real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg,avg_pitch_deg,avg_roll_deg,accel_x_1,accel_y_1,accel_z_1,gyro_x_1,gyro_y_1,gyro_z_1,accel_x_2,accel_y_2,accel_z_2,gyro_x_2,gyro_y_2,gyro_z_2,q1w,q1x,q1y,q1z,q2w,q2x,q2y,q2z,temp1_C,temp2_C,madgwick_beta1,madgwick_beta2
19:00:50.800,1790251250.8002,150,-0.118,-0.018,-0.118,-0.018,0.0016,0.00042,0.99101,0.00084,-0.00014,-0.00083,-0.00022,0.01176,0.99266,-0.11636,-0.01279,0.00204,1.0,0.0003,-0.00062,-0.00011,0.99996,-0.00846,-0.00145,-0.00038,33.23,34.6,0.0733,0.0746
19:00:50.820,1790251250.8207,151,-0.024,0.099,-0.071,0.041,0.01027,-0.00494,0.98712,0.00116,0.00057,-0.00143,0.00467,-0.01313,0.99325,-0.12827,0.00108,-0.00106,1.0,-0.00045,-0.00184,-0.00011,0.99996,-0.00819,-0.00185,-0.0004,33.23,34.6,0.0704,0.075
19:00:50.841,1790251250.8408,152,0.122,0.217,-0.007,0.1,0.01611,-0.00499,1.00983,-0.00305,0.00146,-0.00044,0.00766,0.00388,0.99914,-0.12229,-0.00396,0.00322,0.99999,-0.00094,-0.00322,-0.00012,0.99997,-0.00766,-0.00195,-0.00038,33.23,34.6,0.0725,0.0794
19:00:50.861,1790251250.8612,153,-0.025,0.371,-0.011,0.167,-0.00964,-0.01443,0.98186,0.00198,-0.00052,0.00213,0.00409,-0.01447,0.9969,-0.11976,-0.00907,0.00705,1.0,-0.00176,-0.00216,-9e-05,0.99997,-0.00714,-0.00217,-0.00032,33.23,34.6,0.0665,0.0778
19:00:50.881,1790251250.8815,154,0.195,0.301,0.03,0.194,0.01675,0.00822,1.00297,-0.00375,0.00073,0.00171,-0.00261,0.00657,0.99612,-0.12303,0.00308,-0.00026,0.99999,-0.00072,-0.0033,-8e-05,0.99998,-0.0067,-0.0014,-0.00033,33.23,34.6,0.0776,0.0771
19:00:50.902,1790251250.902,155,0.509,0.266,0.11,0.206,0.02298,0.00463,1.01296,-0.00141,0.00034,0.00471,-0.01889,0.00972,0.99991,-0.11886,0.00141,-0.00131,0.99999,-0.00023,-0.00465,-4e-05,0.99998,-0.00652,-1e-05,-0.00034,33.23,34.6,0.0701,0.0799
19:00:50.922,1790251250.9223,156,0.429,0.321,0.155,0.223,0.00821,-0.00045,0.99193,-0.00176,-0.00189,6e-05,-0.00675,0.0082,0.98974,-0.11168,0.00872,-0.00209,0.99999,-0.00024,-0.00317,-4e-05,0.99998,-0.00606,0.00078,-0.00036,33.23,34.59,0.074,0.0723
19:00:50.943,1790251250.9429,157,0.457,0.265,0.193,0.228,-0.00594,0.00619,0.98408,-0.00276,-1e-05,-0.00246,-0.02399,0.00992,1.00627,-0.11006,0.01118,0.00031,1.0,0.0004,-0.00194,-7e-05,0.99998,-0.0059,0.00225,-0.00035,33.23,34.59,0.0681,0.075
19:00:50.963,1790251250.9632,158,0.435,0.088,0.22,0.212,0.00633,0.00897,1.00956,0.00377,0.00022,-0.00406,0.01427,0.00363,1.01538,-0.1156,0.02112,0.00069,1.0,0.00185,-0.00236,-0.00012,0.99998,-0.00599,0.00164,-0.00035,33.23,34.59,0.0728,0.0684
19:00:50.984,1790251250.9839,159,0.533,0.286,0.251,0.22,-0.00186,-0.01595,0.98051,-0.00078,-0.00186,-0.00457,-0.00936,-0.0027,1.00596,-0.10555,0.01498,-0.00704,1.0,0.00056,-0.00195,-0.00016,0.99998,-0.00556,0.0029,-0.00042,33.23,34.59,0.0655,0.0755
19:00:51.004,1790251251.0043,160,0.387,0.448,0.264,0.24,-0.0055,-0.01887,0.992,-0.00378,0.00223,0.00011,0.01467,0.00612,0.98598,-0.10854,0.02236,-0.00315,1.0,-0.00086,-0.00129,-0.00016,0.99998,-0.00556,0.00229,-0.00046,33.23,34.59,0.0741,0.0696
19:00:51.025,1790251251.0247,161,0.226,0.597,0.26,0.27,-0.00736,-0.01781,0.98435,0.00297,-0.00085,-0.001,0.01492,0.00621,0.99799,-0.11017,0.02543,-0.00284,1.0,-0.00202,-0.00057,-0.00017,0.99998,-0.00542,0.0016,-0.00049,33.23,34.59,0.0684,0.0786
19:00:51.045,1790251251.0452,162,-0.031,0.64,0.238,0.299,-0.00944,-0.00502,0.99504,-0.00109,-8e-05,-0.0013,0.01072,0.00204,0.99915,-0.10671,0.02546,-0.00085,1.0,-0.00218,0.00099,-0.00019,0.99999,-0.0052,0.00092,-0.00051,33.23,34.59,0.0763,0.0794
