real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg,avg_pitch_deg,avg_roll_deg,accel_x_1,accel_y_1,accel_z_1,gyro_x_1,gyro_y_1,gyro_z_1,accel_x_2,accel_y_2,accel_z_2,gyro_x_2,gyro_y_2,gyro_z_2,q1w,q1x,q1y,q1z,q2w,q2x,q2y,q2z,temp1_C,temp2_C,madgwick_beta1,madgwick_beta2
20:45:57.590,1790257557.5901,150,-0.254,-0.185,-0.254,-0.185,-0.01265,0.0156,0.98346,-0.00266,-0.00053,-0.00065,0.01535,-0.01897,0.99024,-0.13138,-0.01004,0.00049,0.99999,0.00316,0.00168,-0.00024,0.99992,-0.01246,-0.00258,-0.0002,33.23,34.6,0.0678,0.0729
20:45:57.610,1790257557.6107,151,-0.029,-0.107,-0.142,-0.146,0.01116,-0.00413,0.98733,0.00263,0.00287,0.00231,-0.00908,-0.00226,0.97444,-0.13445,-0.01287,-0.00325,1.0,0.00234,0.00052,-0.00021,0.99992,-0.01259,-0.00178,-0.00024,33.23,34.6,0.0706,0.0609
20:45:57.631,1790257557.6313,152,0.281,-0.246,-0.001,-0.179,0.00348,0.00716,0.98362,0.00074,0.00107,-0.00072,-0.0085,-0.01994,0.99052,-0.12656,-0.01464,0.00825,1.0,0.00303,-0.00069,-0.00021,0.99991,-0.01313,-0.00028,-0.00014,33.23,34.6,0.0677,0.0731
20:45:57.651,1790257557.6517,153,0.571,-0.202,0.142,-0.185,0.01474,0.00542,0.98894,0.00058,-0.00084,-0.0004,-0.02474,0.01031,1.00439,-0.11282,-0.00735,0.00209,0.99999,0.00297,-0.00216,-0.0002,0.99992,-0.0128,0.00079,-0.00011,33.23,34.6,0.0718,0.0764
20:45:57.672,1790257557.672,154,0.467,-0.072,0.207,-0.162,-0.00065,0.00172,0.98797,0.00264,-0.00011,-0.00352,-0.00256,0.00817,1.02251,-0.12215,-0.01009,-0.00484,1.0,0.00206,-0.00105,-0.00024,0.99992,-0.01257,0.00098,-0.00016,33.23,34.6,0.071,0.0631
20:45:57.692,1790257557.6925,155,0.273,-0.036,0.218,-0.141,-0.00521,0.00412,0.9974,-0.00349,-0.00103,0.00197,0.00558,0.009,1.01482,-0.12553,-0.00613,0.0025,1.0,0.00203,0.00053,-0.00022,0.99992,-0.01229,0.00087,-0.00014,33.23,34.6,0.0781,0.0688
20:45:57.713,1790257557.713,156,0.099,0.066,0.201,-0.112,-0.00721,0.00111,0.98285,0.00226,0.00084,0.00191,0.01073,0.00266,1.01302,-0.11389,0.00691,0.00225,1.0,0.00147,0.00178,-0.0002,0.99993,-0.01196,0.00061,-0.00013,33.23,34.6,0.0672,0.0702
20:45:57.733,1790257557.7336,157,0.284,0.147,0.211,-0.079,0.01665,0.00137,0.99201,0.00259,0.0017,0.00073,0.00329,0.01032,0.99931,-0.11669,0.00596,0.0062,1.0,0.00138,0.00028,-0.00019,0.99994,-0.01135,0.00071,-8e-05,33.23,34.59,0.0741,0.0795
20:45:57.754,1790257557.754,158,0.384,0.192,0.231,-0.049,0.01467,0.00088,1.00029,0.00247,-0.00289,-0.00134,0.0102,-0.01051,0.99841,-0.11086,0.00809,-0.00139,1.0,0.00121,-0.00137,-0.0002,0.99994,-0.01112,-6e-05,-0.00011,33.23,34.59,0.0797,0.0789
20:45:57.774,1790257557.7743,159,0.275,0.243,0.235,-0.02,-0.00572,0.00305,0.99402,0.00147,3e-05,-0.00411,-0.00313,0.01277,1.00545,-0.11221,0.01752,0.00205,1.0,0.00134,0.00015,-0.00024,0.99994,-0.01054,0.00051,-0.0001,33.23,34.59,0.0755,0.0758
