real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg
12:53:56.430,2486.6011,124013,-0.007,-0.028
12:53:56.430,2486.6211,124014,0.155,-0.08
12:53:56.430,2486.6411,124015,0.269,-0.204
12:53:56.436,2486.6611,124016,0.292,-0.315
12:53:56.436,2486.6811,124017,0.316,-0.407
12:53:56.447,2486.7011,124018,0.239,-0.495
12:53:56.447,2486.7211,124019,0.186,-0.522
12:53:56.510,2486.7411,124020,0.131,-0.459
12:53:56.510,2486.7611,124021,0.041,-0.31
12:53:56.510,2486.7811,124022,-0.117,-0.143
12:53:56.552,2486.8011,124023,-0.289,0.041
12:53:56.552,2486.8211,124024,-0.368,0.248
12:53:56.610,2486.8411,124025,-0.527,0.375
12:53:56.616,2486.8611,124026,-0.569,0.64
12:53:56.616,2486.8811,124027,-0.535,0.718
12:53:56.643,2486.9011,124028,-0.447,0.794
12:53:56.659,2486.9211,124029,-0.342,0.917
12:53:56.675,2486.9411,124030,-0.245,1.074
12:53:56.734,2486.9611,124031,-0.199,1.096
12:53:56.734,2486.9811,124032,-0.282,0.94
12:53:56.740,2487.0011,124033,-0.43,0.712
12:53:56.807,2487.0211,124034,-0.57,0.466
12:53:56.807,2487.0411,124035,-0.648,0.193
12:53:56.812,2487.0611,124036,-0.7,-0.05
12:53:56.812,2487.0811,124037,-0.719,-0.267
12:53:56.839,2487.1011,124038,-0.716,-0.435
12:53:56.856,2487.1211,124039,-0.648,-0.566
12:53:56.899,2487.1411,124040,-0.606,-0.624
12:53:56.899,2487.1611,124041,-0.602,-0.496
12:53:56.915,2487.1811,124042,-0.497,-0.378
12:53:56.957,2487.2011,124043,-0.46,-0.245
12:53:56.957,2487.2211,124044,-0.416,-0.117
12:53:56.974,2487.2411,124045,-0.432,-0.016
12:53:57.016,2487.2611,124046,-0.462,0.083
12:53:57.022,2487.2811,124047,-0.552,0.011
12:53:57.033,2487.3011,124048,-0.525,-0.144
12:53:57.065,2487.3211,124049,-0.439,-0.134
12:53:57.107,2487.3411,124050,-0.464,-0.123
12:53:57.107,2487.3611,124051,-0.476,-0.224
12:53:57.113,2487.3811,124052,-0.334,-0.338
12:53:57.139,2487.4011,124053,-0.28,-0.411
12:53:57.155,2487.4211,124054,-0.231,-0.356
12:53:57.229,2487.4411,124055,-0.146,-0.197
12:53:57.229,2487.4611,124056,-0.139,-0.237
12:53:57.245,2487.4811,124057,-0.218,-0.204
12:53:57.245,2487.5011,124058,-0.213,-0.096
12:53:57.351,2487.5211,124059,-0.305,0.014
12:53:57.352,2487.5411,124060,-0.328,-0.041
12:53:57.425,2487.5611,124061,-0.323,-0.09
12:53:57.425,2487.5811,124062,-0.281,0.052
12:53:57.425,2487.6011,124063,0.021,0.237
12:53:57.425,2487.6211,124064,0.191,0.327
12:53:57.430,2487.6411,124065,0.25,0.221
12:53:57.431,2487.6655,124066,0.181,0.251
12:53:57.431,2487.6811,124067,0.204,0.2
12:53:57.499,2487.7011,124068,0.278,0.235
12:53:57.499,2487.7211,124069,0.257,0.268
12:53:57.499,2487.7411,124070,0.399,0.204
12:53:57.505,2487.7611,124071,0.413,0.306
12:53:57.531,2487.7811,124072,0.474,0.549
12:53:57.531,2487.8011,124073,0.357,0.69
12:53:57.558,2487.8211,124074,0.431,0.738
12:53:57.574,2487.8411,124075,0.437,0.787
12:53:57.601,2487.8611,124076,0.371,0.886
12:53:57.676,2487.8811,124077,0.25,0.97
12:53:57.681,2487.9011,124078,0.2,0.882
12:53:57.682,2487.9211,124079,0.241,0.741
12:53:57.682,2487.9411,124080,0.18,0.783
12:53:57.708,2487.9611,124081,0.113,0.693
12:53:57.708,2487.9811,124082,0.229,0.683
12:53:57.750,2488.0011,124083,0.275,0.71
12:53:57.830,2488.0211,124084,0.273,0.791
12:53:57.830,2488.0411,124085,0.353,0.696
12:53:57.830,2488.0611,124086,0.218,0.636
12:53:57.830,2488.0811,124087,0.096,0.776
12:53:57.835,2488.1011,124088,0.062,0.896
12:53:57.857,2488.1211,124089,0.057,0.812
12:53:57.873,2488.1411,124090,0.099,0.855
12:53:57.931,2488.1611,124091,0.021,0.959
12:53:57.937,2488.1811,124092,-0.066,0.92
12:53:57.937,2488.2011,124093,-0.064,1.005
12:53:57.995,2488.2211,124094,0.155,1.003
12:53:57.995,2488.2411,124095,0.075,0.926
12:53:58.081,2488.2611,124096,0.143,1.099
12:53:58.086,2488.2811,124097,0.211,1.176
12:53:58.161,2488.3011,124098,0.305,1.242
12:53:58.161,2488.3211,124099,0.266,1.268
12:53:58.161,2488.3411,124100,0.193,1.158
12:53:58.166,2488.3611,124101,0.101,1.165
12:53:58.279,2488.3811,124102,0.043,1.099
12:53:58.295,2488.4011,124103,-0.011,1.11
12:53:58.295,2488.4211,124104,-0.093,1.036
12:53:58.295,2488.4411,124105,-0.148,1.037
12:53:58.295,2488.4611,124106,-0.097,0.99
12:53:58.301,2488.4811,124107,-0.003,1.07
12:53:58.301,2488.5011,124108,0.06,1.148
12:53:58.301,2488.5211,124109,-0.023,1.237
12:53:58.339,2488.5411,124110,-0.08,1.362
12:53:58.339,2488.5611,124111,-0.118,1.407
12:53:58.340,2488.5811,124112,0.008,1.308
12:53:58.345,2488.6011,124113,-0.012,1.219
12:53:58.398,2488.6211,124114,0.039,1.234
12:53:58.399,2488.6411,124115,0.235,1.396
12:53:58.399,2488.6611,124116,0.322,1.344
12:53:58.447,2488.6811,124117,0.446,1.37
12:53:58.447,2488.7011,124118,0.473,1.484
12:53:58.458,2488.7211,124119,0.421,1.64
12:53:58.517,2488.7411,124120,0.314,1.608
12:53:58.517,2488.7611,124121,0.327,1.531
12:53:58.566,2488.7811,124122,0.367,1.431
12:53:58.566,2488.8011,124123,0.418,1.463
12:53:58.566,2488.8211,124124,0.451,1.582
12:53:58.576,2488.8411,124125,0.631,1.715
12:53:58.640,2488.8611,124126,0.593,1.78
12:53:58.640,2488.8811,124127,0.439,1.893
12:53:58.640,2488.9011,124128,0.322,1.897
12:53:58.656,2488.9211,124129,0.173,1.963
