real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg,avg_pitch_deg,avg_roll_deg,accel_x_1,accel_y_1,accel_z_1,gyro_x_1,gyro_y_1,gyro_z_1,accel_x_2,accel_y_2,accel_z_2,gyro_x_2,gyro_y_2,gyro_z_2,q1w,q1x,q1y,q1z,q2w,q2x,q2y,q2z,temp1_C,temp2_C,madgwick_beta1,madgwick_beta2
20:27:20.409,1790256440.4094,150,-0.031,-0.099,-0.031,-0.099,-0.01656,0.01204,0.99666,0.00167,-0.00067,-0.00053,-0.00364,0.00385,1.00003,-0.1281,-0.01088,-0.00044,0.99999,0.00047,0.00458,-6e-05,0.99992,-0.01243,-0.00206,-0.0004,33.23,34.6,0.0777,0.08
20:27:20.429,1790256440.4297,151,-0.007,-0.226,-0.019,-0.162,-0.01269,0.00606,0.99239,-0.00129,-0.00238,0.00067,-0.0108,-0.00549,1.00377,-0.13088,-0.01526,0.00141,0.99998,0.00169,0.00541,-5e-05,0.99992,-0.01231,-0.00101,-0.00038,33.23,34.6,0.0744,0.0771
20:27:20.450,1790256440.45,152,0.171,-0.058,0.044,-0.128,-0.00348,-0.00773,0.99245,0.00201,-0.00124,-0.00022,-0.00597,-0.00557,1.00974,-0.13252,-0.01033,0.00129,0.99999,0.00045,0.00457,-5e-05,0.99993,-0.01209,-0.0003,-0.00037,33.23,34.6,0.0744,0.0727
20:27:20.470,1790256440.4705,153,0.317,0.089,0.113,-0.074,-0.00915,-0.00103,0.98987,-0.00235,0.00038,0.00049,-0.03163,-0.0039,1.01847,-0.11302,-0.00371,-0.00645,0.99999,-0.00106,0.00465,-5e-05,0.99992,-0.01231,0.00105,-0.00042,33.23,34.6,0.0724,0.0658
20:27:20.491,1790256440.4909,154,0.436,0.034,0.177,-0.052,0.00797,0.00846,0.98777,0.00069,0.00011,0.00053,0.00829,0.00171,0.98324,-0.11737,0.00583,0.00079,0.99999,-0.0003,0.00341,-5e-05,0.99993,-0.01203,0.00085,-0.00043,33.23,34.6,0.0709,0.0675
20:27:20.511,1790256440.5113,155,0.589,0.057,0.246,-0.034,0.00883,0.0038,0.97384,0.00323,-0.00076,-0.0008,0.00091,0.00559,1.00018,-0.12379,0.00288,-0.0009,1.0,7e-05,0.00221,-6e-05,0.99993,-0.01146,0.00099,-0.00044,33.23,34.6,0.0604,0.0799
20:27:20.531,1790256440.5316,156,0.65,0.268,0.304,0.009,-0.00797,-0.01757,0.98702,-0.0,-0.00231,-0.00115,-0.00956,-0.00038,1.00361,-0.12275,0.00458,-0.00088,1.0,-0.00133,0.00247,-7e-05,0.99994,-0.01102,0.00178,-0.00045,33.23,34.59,0.0704,0.0773
20:27:20.552,1790256440.552,157,0.662,0.476,0.348,0.068,-0.00617,-0.00784,0.97577,-0.00083,-0.00155,-0.0022,-0.00453,0.00266,1.01137,-0.10588,0.00903,0.00068,0.99999,-0.00256,0.00276,-9e-05,0.99994,-0.01044,0.00218,-0.00045,33.23,34.59,0.0619,0.0715
20:27:20.572,1790256440.5723,158,0.798,0.534,0.398,0.119,0.00215,-0.00481,0.98291,0.00013,-0.00011,0.00182,0.00902,0.01237,1.00226,-0.11091,0.01523,-0.00352,1.0,-0.00252,0.00139,-8e-05,0.99995,-0.00989,0.00199,-0.00049,33.23,34.59,0.0672,0.0782
20:27:20.593,1790256440.5928,159,0.888,0.427,0.447,0.15,0.00086,0.01012,0.98753,0.00166,-0.00231,0.00142,-0.00227,0.00436,0.98403,-0.10766,0.02592,-0.00568,1.0,-0.00109,0.00103,-6e-05,0.99995,-0.00939,0.00241,-0.00055,33.23,34.59,0.0707,0.068
20:27:20.613,1790256440.6134,160,0.955,0.649,0.494,0.196,0.00204,-0.0123,0.99011,0.00251,-0.0033,-0.00064,0.00223,0.00545,0.99446,-0.11014,0.01595,0.00058,1.0,-0.00246,0.00043,-6e-05,0.99996,-0.00882,0.00239,-0.00055,33.23,34.59,0.0726,0.0759
20:27:20.634,1790256440.634,161,0.906,0.54,0.528,0.224,-0.00406,0.00279,1.00204,0.00222,0.00038,-0.00053,-0.00013,0.00384,0.9878,-0.10422,0.02434,-0.00102,1.0,-0.00094,0.00105,-7e-05,0.99996,-0.00826,0.00259,-0.00057,33.23,34.59,0.0785,0.0709
20:27:20.654,1790256440.6544,162,1.114,0.618,0.573,0.255,0.01238,-0.00085,0.99147,-0.00135,0.00018,0.0023,-0.00087,0.00984,1.00399,-0.09622,0.03033,0.00238,1.0,-0.00085,-0.00045,-4e-05,0.99997,-0.00749,0.0029,-0.00055,33.23,34.59,0.0737,0.077
20:27:20.675,1790256440.6749,163,0.98,0.305,0.602,0.258,-0.0046,0.02552,0.99322,-0.00087,-0.00067,-0.00366,0.00257,-0.0168,0.98988,-0.10572,0.03197,0.00076,1.0,0.00065,-0.00016,-8e-05,0.99996,-0.00871,0.00203,-0.00056,33.23,34.59,0.0752,0.0725
20:27:20.695,1790256440.6956,164,0.815,0.283,0.616,0.26,-0.00956,0.00736,0.99517,-0.00049,-0.00107,-0.00187,0.00548,0.00261,0.99127,-0.09186,0.02723,-0.00324,1.0,0.00147,0.00117,-0.0001,0.99997,-0.00809,0.00191,-0.0006,33.23,34.59,0.0764,0.0735
