real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg,avg_pitch_deg,avg_roll_deg,accel_x_1,accel_y_1,accel_z_1,gyro_x_1,gyro_y_1,gyro_z_1,accel_x_2,accel_y_2,accel_z_2,gyro_x_2,gyro_y_2,gyro_z_2,q1w,q1x,q1y,q1z,q2w,q2x,q2y,q2z,temp1_C,temp2_C,madgwick_beta1,madgwick_beta2
20:20:19.191,4947.8722,247249,0.172,-0.074,0.172,-0.074,0.1096,0.0161,-1.106,0.02265,-0.11751,0.0044,0.0073,-0.0266,1.0229,-0.05889,0.01279,-0.02491,0.6013,0.13003,-0.78838,0.0001,0.99981,-0.01338,-0.00295,0.01383,50.53,53.29,0.02,0.0625
20:20:19.191,4947.8922,247250,0.124,0.029,0.148,-0.022,0.1133,0.0198,-1.1077,0.02265,-0.11711,0.004,0.0078,-0.0249,1.0222,-0.05836,0.01292,-0.02451,0.60098,0.13007,-0.78861,0.0001,0.99982,-0.0124,-0.00375,0.01382,50.52,53.3,0.02,0.0631
20:20:19.191,4947.9122,247251,0.024,0.005,0.106,-0.013,0.1133,0.019,-1.1082,0.02118,-0.11711,0.00413,0.0112,-0.0259,1.0212,-0.05756,0.01306,-0.02545,0.60066,0.13011,-0.78885,0.0001,0.99981,-0.01253,-0.00502,0.01381,50.52,53.28,0.02,0.0638
20:20:19.191,4947.9322,247252,0.16,-0.12,0.12,-0.04,0.113,0.0164,-1.1047,0.02198,-0.11671,0.00346,0.0088,-0.0271,1.0195,-0.05889,0.01252,-0.02531,0.60034,0.13014,-0.78908,0.0001,0.9998,-0.01357,-0.00424,0.01382,50.51,53.29,0.02,0.0651
20:20:19.226,4947.9522,247253,0.137,-0.002,0.123,-0.033,0.1123,0.0154,-1.1094,0.02278,-0.11618,0.00413,0.0098,-0.0251,1.0229,-0.05836,0.01252,-0.02571,0.60002,0.13018,-0.78932,0.0001,0.99982,-0.01246,-0.00482,0.01381,50.52,53.29,0.02,0.0626
20:20:19.287,4947.9722,247254,0.327,0.006,0.157,-0.026,0.1101,0.0164,-1.1138,0.02345,-0.11818,0.00346,0.0076,-0.0254,1.0212,-0.05822,0.01226,-0.02585,0.5997,0.13022,-0.78956,0.0001,0.99982,-0.01235,-0.00355,0.01382,50.53,53.29,0.02,0.0638
20:20:19.301,4947.9922,247255,0.489,-0.096,0.205,-0.036,0.114,0.0156,-1.104,0.02185,-0.11711,0.0036,0.0061,-0.0259,1.0188,-0.05809,0.01306,-0.02518,0.59939,0.13026,-0.78979,0.0001,0.99981,-0.01319,-0.00254,0.01384,50.52,53.29,0.02,0.0656
20:20:19.304,4948.0122,247256,0.395,-0.076,0.229,-0.041,0.1094,0.0171,-1.1077,0.02092,-0.11684,0.0032,0.0083,-0.0264,1.0239,-0.05836,0.01306,-0.02478,0.59907,0.1303,-0.79003,0.0001,0.99981,-0.01293,-0.00375,0.01382,50.53,53.28,0.02,0.0618
20:20:19.305,4948.0322,247257,0.387,0.052,0.246,-0.031,0.1091,0.0159,-1.0994,0.02225,-0.11751,0.00253,0.009,-0.0222,1.0212,-0.05809,0.01252,-0.02451,0.59875,0.13034,-0.79026,0.0001,0.99983,-0.01174,-0.0042,0.01381,50.52,53.29,0.02,0.0639
20:20:19.308,4948.0522,247258,0.552,-0.039,0.277,-0.032,0.1096,0.0178,-1.1035,0.02105,-0.11644,0.00413,0.0071,-0.0249,1.021,-0.05796,0.01226,-0.02545,0.59843,0.13037,-0.7905,0.0001,0.99982,-0.01249,-0.00316,0.01383,50.51,53.29,0.02,0.064
20:20:19.331,4948.0722,247259,0.45,-0.052,0.292,-0.034,0.1133,0.0203,-1.1045,0.02158,-0.11711,0.00493,0.0146,-0.0259,1.0208,-0.05836,0.01199,-0.02478,0.59811,0.13041,-0.79073,0.0001,0.99982,-0.01252,-0.00444,0.01381,50.52,53.3,0.02,0.0641
20:20:19.334,4948.0922,247260,0.613,-0.15,0.319,-0.043,0.1116,0.012,-1.1125,0.02158,-0.11818,0.00373,0.0071,-0.0269,1.0198,-0.05809,0.01226,-0.02585,0.59779,0.13045,-0.79097,0.00011,0.99981,-0.01332,-0.00343,0.01383,50.53,53.29,0.02,0.0649
20:20:19.335,4948.1122,247261,0.549,-0.068,0.337,-0.045,0.1096,0.02,-1.1074,0.02278,-0.11858,0.00386,0.0076,-0.0266,1.0242,-0.05849,0.01252,-0.02531,0.59747,0.13049,-0.7912,0.0001,0.99982,-0.01252,-0.00437,0.01381,50.52,53.29,0.02,0.0616
20:20:19.361,4948.1322,247262,0.583,0.069,0.354,-0.037,0.1116,0.0212,-1.1016,0.02185,-0.11698,0.0044,0.0088,-0.0229,1.0225,-0.05875,0.01306,-0.02491,0.59715,0.13053,-0.79144,0.0001,0.99983,-0.01127,-0.00445,0.01381,50.53,53.28,0.02,0.0629
20:20:19.466,4948.1522,247263,0.548,-0.06,0.367,-0.039,0.1128,0.0176,-1.1025,0.02185,-0.11684,0.0036,0.0107,-0.0261,1.0217,-0.05822,0.01319,-0.02478,0.59683,0.13057,-0.79167,0.0001,0.99982,-0.01232,-0.00516,0.0138,50.54,53.3,0.02,0.0634
20:20:19.467,4948.1722,247264,0.708,0.017,0.389,-0.035,0.1082,0.0208,-1.1074,0.02185,-0.11738,0.0044,0.0066,-0.0227,1.0232,-0.05822,0.01226,-0.02531,0.59651,0.13061,-0.7919,0.0001,0.99983,-0.01159,-0.00414,0.01381,50.53,53.29,0.02,0.0624
20:20:19.470,4948.1922,247265,0.7,-0.12,0.407,-0.04,0.1155,0.0161,-1.1091,0.02225,-0.11818,0.00413,0.0085,-0.0247,1.0249,-0.05875,0.01172,-0.02571,0.59619,0.13064,-0.79214,0.0001,0.99981,-0.01272,-0.00462,0.01381,50.53,53.29,0.02,0.0611
20:20:19.472,4948.2122,247266,0.646,-0.224,0.42,-0.05,0.1104,0.0127,-1.1091,0.02212,-0.11698,0.00546,0.0093,-0.0264,1.0259,-0.05889,0.01146,-0.02531,0.59587,0.13068,-0.79237,0.00011,0.9998,-0.01355,-0.00549,0.0138,50.54,53.29,0.02,0.0603
