real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg
12:47:14.526,2084.7421,103969,0.114,0.032
12:47:14.526,2084.7621,103970,0.048,0.181
12:47:14.531,2084.7821,103971,-0.092,0.085
12:47:14.547,2084.8021,103972,-0.112,0.235
12:47:14.558,2084.8221,103973,0.001,0.244
12:47:14.620,2084.8421,103974,-0.172,0.206
12:47:14.620,2084.8621,103975,-0.297,0.094
12:47:14.620,2084.8821,103976,-0.234,0.216
12:47:14.647,2084.9021,103977,-0.27,0.071
12:47:14.663,2084.9221,103978,-0.194,-0.031
12:47:14.680,2084.9421,103979,-0.197,0.12
12:47:14.696,2084.9621,103980,-0.372,0.137
12:47:14.739,2084.9821,103981,-0.397,0.293
12:47:14.739,2085.0021,103982,-0.511,0.172
12:47:14.755,2085.0221,103983,-0.569,0.025
12:47:14.782,2085.0421,103984,-0.54,0.157
12:47:14.798,2085.0621,103985,-0.425,0.165
12:47:14.814,2085.0821,103986,-0.578,0.091
12:47:14.872,2085.1021,103987,-0.698,0.218
12:47:14.878,2085.1221,103988,-0.589,0.233
12:47:14.878,2085.1421,103989,-0.774,0.253
12:47:14.904,2085.1621,103990,-0.805,0.106
12:47:14.920,2085.1821,103991,-0.711,0.183
12:47:14.936,2085.2021,103992,-0.65,0.297
12:47:14.978,2085.2221,103993,-0.816,0.355
12:47:14.983,2085.2421,103994,-0.699,0.323
12:47:14.994,2085.2621,103995,-0.734,0.173
12:47:15.026,2085.2821,103996,-0.877,0.06
12:47:15.037,2085.3021,103997,-1.043,0.116
12:47:15.053,2085.3221,103998,-0.969,0.222
12:47:15.099,2085.3421,103999,-1.032,0.364
12:47:15.099,2085.3621,104000,-1.119,0.224
12:47:15.115,2085.3821,104001,-1.152,0.375
12:47:15.147,2085.4021,104002,-1.103,0.248
12:47:15.157,2085.4221,104003,-1.032,0.351
12:47:15.173,2085.4421,104004,-1.087,0.213
12:47:15.205,2085.4621,104005,-1.198,0.346
12:47:15.221,2085.4821,104006,-1.315,0.242
12:47:15.232,2085.5021,104007,-1.215,0.191
12:47:15.264,2085.5221,104008,-1.336,0.084
12:47:15.280,2085.5421,104009,-1.353,0.239
12:47:15.296,2085.5621,104010,-1.236,0.278
12:47:15.323,2085.5821,104011,-1.393,0.201
12:47:15.339,2085.6021,104012,-1.566,0.161
12:47:15.355,2085.6221,104013,-1.455,0.203
12:47:15.382,2085.6421,104014,-1.359,0.137
12:47:15.398,2085.6621,104015,-1.52,0.221
12:47:15.414,2085.6821,104016,-1.399,0.214
