real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg,avg_pitch_deg,avg_roll_deg,accel_x_1,accel_y_1,accel_z_1,gyro_x_1,gyro_y_1,gyro_z_1,accel_x_2,accel_y_2,accel_z_2,gyro_x_2,gyro_y_2,gyro_z_2,q1w,q1x,q1y,q1z,q2w,q2x,q2y,q2z,temp1_C,temp2_C,madgwick_beta1,madgwick_beta2
21:26:33.180,1790259993.1801,150,0.074,-0.127,0.074,-0.127,0.00269,0.0103,0.99033,-0.00374,0.00068,0.00078,0.00344,-0.0097,1.00493,-0.13536,-0.00834,-0.00463,1.0,0.00184,-0.00109,-1e-05,0.99995,-0.00935,-0.00231,-0.00073,33.23,34.6,0.0728,0.0763
21:26:33.200,1790259993.2004,151,0.112,-0.075,0.093,-0.101,-0.00243,-0.00019,0.98441,0.00152,-0.00147,0.00272,-0.02154,-0.00423,1.01077,-0.13041,-0.0154,-0.00346,1.0,0.00097,-4e-05,2e-05,0.99995,-0.00977,-0.00092,-0.00076,33.23,34.6,0.0683,0.0717
21:26:33.221,1790259993.2209,152,0.035,0.089,0.074,-0.038,-0.00517,-0.0024,1.00265,0.0009,0.00428,0.00238,-0.00156,-0.00885,1.00357,-0.12509,-0.01396,-0.00489,1.0,-4e-05,0.00124,5e-05,0.99996,-0.00935,-0.00031,-0.00081,33.23,34.6,0.078,0.0773
21:26:33.241,1790259993.2411,153,0.225,0.265,0.111,0.038,-0.00027,-0.01608,0.99645,-0.00241,-0.00147,0.00085,-0.01577,-0.0039,1.00291,-0.12773,-0.00097,-0.00235,1.0,-0.00162,0.00101,5e-05,0.99995,-0.00939,0.00111,-0.00083,33.23,34.6,0.0774,0.0777
21:26:33.261,1790259993.2614,154,0.332,0.22,0.156,0.074,0.00494,0.00187,0.9887,0.00024,-0.00278,-0.00099,0.00373,-0.00268,1.0102,-0.10902,-0.00241,-0.00158,1.0,-0.00077,-0.00018,4e-05,0.99996,-0.00893,0.00086,-0.00085,33.23,34.6,0.0715,0.0723
21:26:33.281,1790259993.2816,155,0.314,0.137,0.182,0.085,0.00367,0.0147,0.96197,-0.00054,-0.00105,0.00071,0.00793,0.00129,1.01396,-0.11392,-0.00133,-0.00342,1.0,0.00025,-0.00039,4e-05,0.99996,-0.00864,0.00049,-0.00089,33.23,34.6,0.0516,0.0695
21:26:33.302,1790259993.3023,156,0.514,0.092,0.229,0.086,0.01016,0.00785,0.98305,-1e-05,-0.00195,0.00156,-0.00574,0.01151,1.00579,-0.12264,0.00897,0.00339,1.0,0.00111,-0.00151,6e-05,0.99997,-0.00817,0.00111,-0.00086,33.23,34.6,0.0673,0.0756
21:26:33.322,1790259993.3227,157,0.423,0.008,0.254,0.076,0.00042,0.01323,0.97552,-0.00159,0.00011,0.00281,0.01177,0.00556,0.99499,-0.1005,0.00594,-0.00288,1.0,0.00232,-0.00123,9e-05,0.99997,-0.00769,0.0006,-0.0009,33.23,34.59,0.0617,0.0763
21:26:33.343,1790259993.343,158,0.569,-0.162,0.289,0.05,0.00088,0.01138,0.98847,-0.0019,0.00228,0.00126,-0.01622,-0.00541,1.00941,-0.10924,0.01256,0.00254,0.99999,0.00372,-0.00088,0.0001,0.99997,-0.00778,0.00223,-0.00087,33.23,34.59,0.0714,0.0728
21:26:33.363,1790259993.3634,159,0.415,-0.006,0.301,0.044,-0.00534,0.00261,0.99851,-0.00058,0.00312,-0.00097,-0.00146,-0.00481,0.99223,-0.11685,0.01419,0.00364,1.0,0.00281,0.00048,9e-05,0.99997,-0.00732,0.00224,-0.00083,33.23,34.59,0.0789,0.0742
21:26:33.383,1790259993.3835,160,0.458,0.138,0.315,0.053,0.00275,0.00145,0.99584,0.00015,-0.00304,0.00403,0.00845,-0.00309,0.99772,-0.11368,0.02194,-5e-05,1.0,0.00165,-0.00058,0.00013,0.99997,-0.00723,0.00155,-0.00084,33.23,34.59,0.0769,0.0783
21:26:33.404,1790259993.4038,161,0.82,0.143,0.358,0.06,0.00984,0.00288,1.00092,0.00108,-0.00051,-0.00156,-0.00847,-0.01065,1.01794,-0.10284,0.02107,-0.00187,1.0,0.00157,-0.00219,0.00014,0.99997,-0.00726,0.00311,-0.00086,33.23,34.59,0.0793,0.0665
21:26:33.424,1790259993.4244,162,0.764,0.169,0.389,0.069,-0.00898,0.00703,1.00566,-0.00443,0.00019,-0.00033,-0.01423,0.01124,1.00485,-0.10455,0.0268,0.00397,1.0,0.00196,-0.00069,0.00013,0.99997,-0.00664,0.00412,-0.00081,33.23,34.59,0.0757,0.0762
21:26:33.444,1790259993.4448,163,0.85,0.245,0.422,0.081,0.01825,0.0005,0.97602,0.00058,0.00029,0.00288,0.00655,0.005,1.00263,-0.099,0.02291,0.00085,1.0,0.00172,-0.00192,0.00016,0.99997,-0.00622,0.00363,-0.0008,33.23,34.59,0.0621,0.078
21:26:33.465,1790259993.4651,164,0.921,0.289,0.455,0.095,0.01749,-0.003,0.99766,0.00232,0.00578,0.00074,0.00247,-0.00908,0.99549,-0.09493,0.04359,-0.00072,0.99999,0.00106,-0.0033,0.00018,0.99997,-0.00649,0.00287,-0.00082,33.23,34.59,0.0784,0.0767
