real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg
12:55:12.793,2562.9451,127806,-0.059,0.068
12:55:12.799,2562.9651,127807,-0.135,0.098
12:55:12.799,2562.9851,127808,0.055,0.246
12:55:12.799,2563.0051,127809,0.205,0.397
12:55:12.832,2563.0251,127810,0.303,0.492
12:55:12.832,2563.0451,127811,0.266,0.461
12:55:12.832,2563.0651,127812,0.225,0.405
12:55:12.843,2563.0851,127813,0.098,0.429
12:55:12.859,2563.1051,127814,-0.07,0.43
12:55:12.859,2563.1251,127815,-0.104,0.426
12:55:12.875,2563.1451,127816,-0.173,0.455
12:55:12.918,2563.1651,127817,-0.097,0.55
12:55:12.934,2563.1851,127818,0.013,0.703
12:55:12.950,2563.2051,127819,-0.058,0.751
12:55:12.966,2563.2251,127820,-0.111,0.793
12:55:12.982,2563.2451,127821,0.013,0.864
12:55:13.039,2563.2651,127822,-0.057,0.854
12:55:13.072,2563.2851,127823,0.094,0.885
12:55:13.072,2563.3051,127824,0.129,0.877
12:55:13.072,2563.3251,127825,0.037,0.905
12:55:13.072,2563.3451,127826,0.11,1.0
12:55:13.099,2563.3651,127827,0.146,1.029
12:55:13.116,2563.3851,127828,0.09,1.12
12:55:13.142,2563.4051,127829,-0.03,1.18
12:55:13.158,2563.4251,127830,0.017,1.322
12:55:13.206,2563.4451,127831,-0.032,1.478
12:55:13.237,2563.4651,127832,-0.196,1.567
12:55:13.237,2563.4851,127833,-0.097,1.69
12:55:13.237,2563.5051,127834,-0.223,1.727
12:55:13.327,2563.5251,127835,-0.246,1.838
12:55:13.385,2563.5451,127836,-0.332,1.875
12:55:13.385,2563.5651,127837,-0.202,1.983
12:55:13.401,2563.5851,127838,-0.327,2.03
12:55:13.401,2563.6051,127839,-0.199,2.038
12:55:13.401,2563.6251,127840,-0.236,1.996
12:55:13.406,2563.6451,127841,-0.241,1.953
12:55:13.406,2563.6651,127842,-0.369,2.016
12:55:13.428,2563.6851,127843,-0.293,2.084
12:55:13.443,2563.7051,127844,-0.422,2.098
12:55:13.475,2563.7251,127845,-0.332,2.179
12:55:13.581,2563.7451,127846,-0.299,2.194
12:55:13.581,2563.7651,127847,-0.438,2.239
12:55:13.581,2563.7851,127848,-0.356,2.245
12:55:13.587,2563.8051,127849,-0.488,2.212
12:55:13.587,2563.8251,127850,-0.459,2.258
12:55:13.587,2563.8451,127851,-0.621,2.293
12:55:13.624,2563.8651,127852,-0.586,2.368
12:55:13.630,2563.8851,127853,-0.656,2.337
12:55:13.683,2563.9051,127854,-0.776,2.322
12:55:13.699,2563.9251,127855,-0.711,2.436
12:55:13.699,2563.9451,127856,-0.616,2.534
12:55:13.705,2563.9651,127857,-0.542,2.514
12:55:13.742,2563.9851,127858,-0.495,2.498
12:55:13.775,2564.0051,127859,-0.433,2.602
12:55:13.775,2564.0251,127860,-0.358,2.645
12:55:13.780,2564.0451,127861,-0.363,2.62
12:55:13.822,2564.0651,127862,-0.279,2.577
12:55:13.822,2564.0851,127863,-0.114,2.554
12:55:13.881,2564.1051,127864,-0.184,2.664
12:55:13.882,2564.1251,127865,-0.211,2.788
12:55:13.882,2564.1451,127866,-0.169,2.807
12:55:13.898,2564.1651,127867,-0.066,2.858
12:55:13.925,2564.1851,127868,-0.225,2.918
12:55:13.941,2564.2051,127869,-0.186,3.037
12:55:13.983,2564.2251,127870,-0.171,3.08
12:55:13.989,2564.2451,127871,-0.291,3.157
12:55:14.000,2564.2651,127872,-0.485,3.201
12:55:14.059,2564.2851,127873,-0.663,3.26
12:55:14.091,2564.3051,127874,-0.624,3.331
12:55:14.150,2564.3251,127875,-0.51,3.365
12:55:14.150,2564.3451,127876,-0.664,3.471
12:55:14.155,2564.3651,127877,-0.78,3.546
12:55:14.166,2564.3851,127878,-0.637,3.639
12:55:14.171,2564.4051,127879,-0.691,3.748
