real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg
12:55:44.116,2594.3371,129351,-0.171,0.122
12:55:44.116,2594.3571,129352,-0.436,0.178
12:55:44.122,2594.3771,129353,-0.189,0.157
12:55:44.153,2594.3971,129354,-0.143,0.284
12:55:44.153,2594.4171,129355,0.112,0.207
12:55:44.164,2594.4371,129356,0.23,0.094
12:55:44.196,2594.4571,129357,0.236,0.174
12:55:44.211,2594.4771,129358,0.026,0.208
12:55:44.227,2594.4971,129359,0.198,0.288
12:55:44.259,2594.5171,129360,0.216,0.251
12:55:44.270,2594.5371,129361,0.122,0.101
12:55:44.302,2594.5571,129362,0.1,0.149
12:55:44.318,2594.5771,129363,0.019,0.257
12:55:44.334,2594.5971,129364,0.136,0.131
12:55:44.345,2594.6171,129365,0.345,0.075
12:55:44.392,2594.6371,129366,0.355,0.052
12:55:44.392,2594.6571,129367,0.154,0.041
12:55:44.408,2594.6771,129368,0.178,0.118
12:55:44.434,2594.6971,129369,0.46,0.087
12:55:44.451,2594.7171,129370,0.6,-0.014
12:55:44.467,2594.7371,129371,0.429,0.065
12:55:44.509,2594.7571,129372,0.266,0.15
12:55:44.515,2594.7771,129373,0.13,0.201
12:55:44.526,2594.7971,129374,0.376,0.15
12:55:44.558,2594.8171,129375,0.584,0.031
12:55:44.569,2594.8371,129376,0.568,0.057
12:55:44.632,2594.8571,129377,0.593,0.131
12:55:44.632,2594.8771,129378,0.527,0.205
12:55:44.633,2594.8971,129379,0.459,0.207
12:55:44.649,2594.9171,129380,0.429,0.223
12:55:44.691,2594.9371,129381,0.562,0.101
12:55:44.696,2594.9571,129382,0.504,0.063
12:55:44.707,2594.9771,129383,0.48,-0.086
12:55:44.754,2594.9971,129384,0.436,-0.021
12:55:44.754,2595.0171,129385,0.359,0.032
12:55:44.764,2595.0371,129386,0.668,0.082
12:55:44.796,2595.0571,129387,0.737,0.113
12:55:44.812,2595.0771,129388,0.587,0.174
12:55:44.828,2595.0971,129389,0.513,0.219
12:55:44.870,2595.1171,129390,0.508,0.129
12:55:44.876,2595.1371,129391,0.586,0.067
12:55:44.887,2595.1571,129392,0.713,0.018
12:55:44.918,2595.1771,129393,0.694,-0.138
12:55:44.930,2595.1971,129394,0.668,-0.135
12:55:44.946,2595.2171,129395,0.659,-0.047
12:55:44.979,2595.2371,129396,0.688,-0.069
12:55:45.005,2595.2571,129397,0.909,-0.071
12:55:45.005,2595.2771,129398,0.785,-0.003
12:55:45.037,2595.2971,129399,0.524,0.019
12:55:45.053,2595.3171,129400,0.445,-0.119
12:55:45.069,2595.3371,129401,0.627,-0.044
12:55:45.111,2595.3571,129402,0.795,-0.111
12:55:45.111,2595.3771,129403,0.833,-0.204
12:55:45.127,2595.3971,129404,0.698,-0.153
12:55:45.158,2595.4171,129405,0.681,-0.102
12:55:45.174,2595.4371,129406,0.994,-0.027
12:55:45.186,2595.4571,129407,0.95,0.077
12:55:45.217,2595.4771,129408,1.022,-0.008
12:55:45.233,2595.4971,129409,0.947,-0.172
12:55:45.249,2595.5171,129410,0.772,-0.077
12:55:45.275,2595.5371,129411,1.01,-0.097
12:55:45.307,2595.5571,129412,1.221,0.03
12:55:45.307,2595.5771,129413,1.244,-0.063
12:55:45.334,2595.5971,129414,1.028,-0.074
12:55:45.351,2595.6171,129415,1.351,-0.139
12:55:45.367,2595.6371,129416,1.648,-0.17
