real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg,avg_pitch_deg,avg_roll_deg,accel_x_1,accel_y_1,accel_z_1,gyro_x_1,gyro_y_1,gyro_z_1,accel_x_2,accel_y_2,accel_z_2,gyro_x_2,gyro_y_2,gyro_z_2,q1w,q1x,q1y,q1z,q2w,q2x,q2y,q2z,temp1_C,temp2_C,madgwick_beta1,madgwick_beta2
20:48:05.139,6613.9771,330530,-0.048,-0.012,-0.048,-0.012,0.074,0.0173,-1.1099,0.02345,-0.11884,0.00306,1.0093,-0.009,-0.0122,-0.05809,0.01319,-0.02571,0.62301,0.16157,-0.76535,-0.0002,0.70267,-0.00665,-0.71149,-0.00064,50.27,52.93,0.02,0.0729
20:48:05.166,6613.9971,330531,-0.034,-0.019,-0.041,-0.015,0.0762,0.0164,-1.105,0.02265,-0.11871,0.00386,1.0083,-0.0115,-0.0132,-0.05836,0.01332,-0.02611,0.6227,0.16162,-0.76559,-0.0002,0.70247,-0.00765,-0.71167,0.00037,50.26,52.92,0.02,0.0737
20:48:05.167,6614.0171,330532,0.125,-0.028,0.014,-0.019,0.0732,0.0159,-1.1074,0.02332,-0.11858,0.00306,1.0122,-0.0112,-0.0095,-0.05875,0.01306,-0.02491,0.62239,0.16167,-0.76583,-0.0002,0.70318,-0.0076,-0.71097,0.00033,50.25,52.94,0.02,0.0708
20:48:05.226,6614.0371,330533,0.22,-0.039,0.066,-0.024,0.0742,0.0156,-1.1035,0.02278,-0.11791,0.00426,1.0125,-0.0078,-0.01,-0.05822,0.01266,-0.02531,0.62207,0.16172,-0.76608,-0.0002,0.70349,-0.00671,-0.71067,-0.00057,50.26,52.9,0.02,0.0706
20:48:05.227,6614.0571,330534,0.319,-0.045,0.116,-0.028,0.0764,0.0137,-1.1025,0.02318,-0.11764,0.00373,1.0117,-0.0127,-0.0088,-0.05862,0.01252,-0.02558,0.62176,0.16177,-0.76632,-0.0002,0.70383,-0.00758,-0.71033,0.00032,50.25,52.92,0.02,0.0711
20:48:05.228,6614.0771,330535,0.244,-0.056,0.138,-0.033,0.074,0.0181,-1.1035,0.02212,-0.11804,0.00346,1.0076,-0.0115,-0.0137,-0.05796,0.01319,-0.02531,0.62145,0.16183,-0.76656,-0.0002,0.70309,-0.00764,-0.71106,0.00037,50.25,52.92,0.02,0.0742
20:48:05.256,6614.0971,330536,0.386,-0.066,0.173,-0.038,0.0781,0.0156,-1.1072,0.02225,-0.11858,0.00306,1.0056,-0.0098,-0.01,-0.05822,0.01266,-0.02545,0.62113,0.16188,-0.7668,-0.0002,0.70369,-0.00698,-0.71047,-0.00029,50.26,52.92,0.02,0.0757
20:48:05.271,6614.1171,330537,0.471,-0.073,0.21,-0.042,0.0784,0.0154,-1.1028,0.02278,-0.11871,0.00413,1.012,-0.0105,-0.0095,-0.05862,0.01252,-0.02545,0.62082,0.16193,-0.76705,-0.0002,0.70394,-0.00792,-0.71022,0.00065,50.25,52.93,0.02,0.0709
20:48:05.286,6614.1371,330538,0.399,-0.083,0.231,-0.047,0.0767,0.0217,-1.1003,0.02292,-0.11911,0.004,1.009,-0.0125,-0.0103,-0.05836,0.01346,-0.02505,0.62051,0.16198,-0.76729,-0.0002,0.70321,-0.0081,-0.71093,0.00083,50.24,52.93,0.02,0.0732
20:48:05.345,6614.1571,330539,0.538,-0.089,0.262,-0.051,0.0771,0.0146,-1.1008,0.02278,-0.11831,0.0048,1.0078,-0.0144,-0.0095,-0.05889,0.01266,-0.02598,0.6202,0.16203,-0.76753,-0.0002,0.7038,-0.00874,-0.71034,0.00148,50.28,52.93,0.02,0.074
